NUMBER	P2/TC1	BIN	HEX
137	1429181	101011100111010111101	15CEBD
138	8395138	100000000001100110000010	801982
139	6132809	10111011001010001001001	5D9449
140	5936917	10110101001011100010101	5A9715
141	2878578	1010111110110001110010	2BEC72
142	158885	100110110010100101	26CA5
143	2441957	1001010100001011100101	2542E5
144	5914794	10110100100000010101010	5A40AA
145	3999272	1111010000011000101000	3D0628
146	3142897	1011111111010011110001	2FF4F1
147	8151159	11111000110000001110111	7C6077
148	5147564	10011101000101110101100	4E8BAC
149	4595374	10001100001111010101110	461EAE
150	4234951	10000001001111011000111	409EC7
151	7880605	11110000011111110011101	783F9D
152	7009921	11010101111011010000001	6AF681
153	695580	10101001110100011100	A9D1C
154	7370443	11100000111011011001011	7076CB
155	7921729	11110001110000001000001	78E041
156	8419625	100000000111100100101001	807929
157	7024080	11010110010110111010000	6B2DD0
158	3905988	1110111001100111000100	3B99C4
159	1767599	110101111100010101111	1AF8AF
160	935136	11100100010011100000	E44E0
161	635788	10011011001110001100	9B38C
162	8807719	100001100110010100100111	866527
163	317375	1001101011110111111	4D7BF
164	9975410	100110000011011001110010	983672
165	2727968	1010011010000000100000	29A020
166	7444399	11100011001011110101111	7197AF
167	4065675	1111100000100110001011	3E098B
168	9925720	100101110111010001011000	977458
169	2293633	1000101111111110000001	22FF81
170	7734826	11101100000011000101010	76062A
171	1065463	100000100000111110111	1041F7
172	1105617	100001101111011010001	10DED1
173	5325800	10100010100001111101000	5143E8
174	3822527	1110100101001110111111	3A53BF
175	5503858	10100111111101101110010	53FB72
176	9214055	100011001001100001100111	8C9867
177	6521769	11000111000001110101001	6383A9
178	7923796	11110001110100001010100	78E854
179	5250236	10100000001110010111100	501CBC
180	1083154	100001000011100010010	108712
181	472141	1110011010001001101	7344D
182	9597454	100100100111001000001110	92720E
183	1581679	110000010001001101111	18226F
184	656751	10100000010101101111	A056F
185	345464	1010100010101111000	54578
186	4281218	10000010101001110000010	415382
187	6558883	11001000001010010100011	6414A3
188	3852986	1110101100101010111010	3ACABA
189	6263187	10111111001000110010011	5F9193
190	5828308	10110001110111011010100	58EED4
191	8058535	11110101111011010100111	7AF6A7
192	9035191	100010011101110110110111	89DDB7
193	7922103	11110001110000110110111	78E1B7
194	9366003	100011101110100111110011	8EE9F3
195	4555717	10001011000001111000101	4583C5
196	3526753	1101011101000001100001	35D061
197	3176815	1100000111100101101111	30796F
198	858440	11010001100101001000	D1948
199	2250854	1000100101100001100110	225866
Elapsed Time: 0.003030061721801758 seconds


NUMBER	P2/TC2	BIN	HEX
0	7116776	11011001001011111101000	6C97E8
1	1666340	110010110110100100100	196D24
2	8886983	100001111001101011000111	879AC7
3	839365	11001100111011000101	CCEC5
4	924280	11100001101001111000	E1A78
5	1026310	11111010100100000110	FA906
6	1615293	110001010010110111101	18A5BD
7	1063875	100000011101111000011	103BC3
8	679035	10100101110001111011	A5C7B
9	5201970	10011110110000000110010	4F6032
10	593979	10010001000000111011	9103B
11	801371	11000011101001011011	C3A5B
12	3796878	1110011110111110001110	39EF8E
13	7489201	11100100100011010110001	7246B1
14	9740020	100101001001111011110100	949EF4
15	9128737	100010110100101100100001	8B4B21
16	5473463	10100111000010010110111	5384B7
17	8701957	100001001100100000000101	84C805
18	8238050	11111011011001111100010	7DB3E2
19	8679038	100001000110111001111110	846E7E
20	385912	1011110001101111000	5E378
21	5867340	10110011000011101001100	59874C
22	4894542	10010101010111101001110	4AAF4E
23	8999451	100010010101001000011011	89521B
24	4392535	10000110000011001010111	430657
25	2078131	111111011010110110011	1FB5B3
26	3070124	1011101101100010101100	2ED8AC
27	7451998	11100011011010101011110	71B55E
28	5635510	10101011111110110110110	55FDB6
29	1233932	100101101010000001100	12D40C
30	6089867	10111001110110010001011	5CEC8B
31	1792316	110110101100100111100	1B593C
32	6298637	11000000001110000001101	601C0D
33	2408038	1001001011111001100110	24BE66
34	8510100	100000011101101010010100	81DA94
35	991581	11110010000101011101	F215D
36	6455739	11000101000000110111011	6281BB
37	7829175	11101110111011010110111	7776B7
38	6328931	11000001001001001100011	609263
39	9982305	100110000101000101100001	985161
40	2292022	1000101111100100110110	22F936
41	1070496	100000101010110100000	1055A0
42	8518360	100000011111101011011000	81FAD8
43	6378470	11000010101001111100110	6153E6
44	7756258	11101100101100111100010	7659E2
45	7111767	11011001000010001010111	6C8457
46	2685897	1010001111101111001001	28FBC9
47	617946	10010110110111011010	96DDA
48	246280	111100001000001000	3C208
49	6075442	10111001011010000110010	5CB432
50	991323	11110010000001011011	F205B
51	6754202	11001110000111110011010	670F9A
52	3103178	1011110101100111001010	2F59CA
53	3228842	1100010100010010101010	3144AA
54	6786623	11001111000111000111111	678E3F
55	5329085	10100010101000010111101	5150BD
56	2334647	1000111001111110110111	239FB7
57	7253396	11011101010110110010100	6EAD94
58	6516953	11000110111000011011001	6370D9
59	5972725	10110110010001011110101	5B22F5
60	5828037	10110001110110111000101	58EDC5
61	6642265	11001010101101001011001	655A59
62	2559699	1001110000111011010011	270ED3
63	6597631	11001001010101111111111	64ABFF
64	5826202	10110001110011010011010	58E69A
65	4642335	10001101101011000011111	46D61F
66	1862900	111000110110011110100	1C6CF4
67	6039635	10111000010100001010011	5C2853
68	3358744	1100110100000000011000	334018
69	4965249	10010111100001110000001	4BC381
70	6621475	11001010000100100100011	650923
71	3336153	1100101110011111011001	32E7D9
72	1044743	11111111000100000111	FF107
73	6201477	10111101010000010000101	5EA085
74	6297100	11000000001011000001100	60160C
75	885678	11011000001110101110	D83AE
76	8546891	100000100110101001001011	826A4B
77	6683923	11001011111110100010011	65FD13
78	7064472	11010111100101110011000	6BCB98
79	3430021	1101000101011010000101	345685
80	9764122	100101001111110100011010	94FD1A
81	9958605	100101111111010011001101	97F4CD
82	1006022	11110101100111000110	F59C6
83	5276496	10100001000001101010000	508350
84	8876232	100001110111000011001000	8770C8
85	3364648	1100110101011100101000	335728
86	3539979	1101100000010000001011	36040B
87	3003857	1011011101010111010001	2DD5D1
88	4481634	10001000110001001100010	446262
89	9035781	100010011110000000000101	89E005
90	3767021	1110010111101011101101	397AED
91	4993901	10011000011001101101101	4C336D
92	8698377	100001001011101000001001	84BA09
93	4626501	10001101001100001000101	469845
94	1755352	110101100100011011000	1AC8D8
95	2755340	1010100000101100001100	2A0B0C
96	5150616	10011101001011110011000	4E9798
97	9345169	100011101001100010010001	8E9891
98	848948	11001111010000110100	CF434
99	2708748	1010010101010100001100	29550C
100	8372451	11111111100000011100011	7FC0E3
101	3523015	1101011100000111000111	35C1C7
102	2624283	1010000000101100011011	280B1B
103	8795348	100001100011010011010100	8634D4
104	2318100	1000110101111100010100	235F14
105	4750861	10010000111111000001101	487E0D
106	3770597	1110011000100011100101	3988E5
107	1053352	100000001001010101000	1012A8
108	833307	11001011011100011011	CB71B
109	4632526	10001101010111111001110	46AFCE
110	2212917	1000011100010000110101	21C435
111	5053189	10011010001101100000101	4D1B05
112	412218	1100100101000111010	64A3A
113	4901564	10010101100101010111100	4ACABC
114	5094606	10011011011110011001110	4DBCCE
115	8070285	11110110010010010001101	7B248D
116	6847905	11010000111110110100001	687DA1
117	4311824	10000011100101100010000	41CB10
118	3009421	1011011110101110001101	2DEB8D
119	1629105	110001101101110110001	18DBB1
120	8431899	100000001010100100011011	80A91B
121	7582456	11100111011001011111000	73B2F8
122	7332147	11011111110000100110011	6FE133
123	314183	1001100101101000111	4CB47
124	7632568	11101000111011010111000	7476B8
125	8161327	11111001000100000101111	7C882F
126	6961087	11010100011011110111111	6A37BF
127	6898282	11010010100001001101010	69426A
128	9749303	100101001100001100110111	94C337
129	4427419	10000111000111010011011	438E9B
130	4368829	10000101010100110111101	42A9BD
131	6439318	11000100100000110010110	624196
132	6473603	11000101100011110000011	62C783
133	6446249	11000100101110010101001	625CA9
134	9818836	100101011101001011010100	95D2D4
135	9438069	100100000000001101110101	900375
136	2809499	1010101101111010011011	2ADE9B
137	3460304	1101001100110011010000	34CCD0
138	8430904	100000001010010100111000	80A538
139	9774785	100101010010011011000001	9526C1
140	9560603	100100011110001000011011	91E21B
141	3440732	1101001000000001011100	34805C
142	7053263	11010111001111111001111	6B9FCF
143	287398	1000110001010100110	462A6
144	4043644	1111011011001101111100	3DB37C
145	2943820	1011001110101101001100	2CEB4C
146	9030962	100010011100110100110010	89CD32
147	7537540	11100110000001110000100	730384
148	7203657	11011011110101101001001	6DEB49
149	5639400	10101100000110011101000	560CE8
150	9448142	100100000010101011001110	902ACE
151	9954392	100101111110010001011000	97E458
152	2856859	1010111001011110011011	2B979B
153	1332118	101000101001110010110	145396
154	6984725	11010101001010000010101	6A9415
155	1925762	111010110001010000010	1D6282
156	2138171	1000001010000000111011	20A03B
157	347447	1010100110100110111	54D37
158	8839390	100001101110000011011110	86E0DE
159	3951652	1111000100110000100100	3C4C24
160	3755102	1110010100110001011110	394C5E
161	6867687	11010001100101011100111	68CAE7
162	4383175	10000101110000111000111	42E1C7
163	7125508	11011001011101000000100	6CBA04
164	7799732	11101110000001110110100	7703B4
165	8784156	100001100000100100011100	86091C
166	1372809	101001111001010001001	14F289
167	1327984	101000100001101110000	144370
168	9205087	100011000111010101011111	8C755F
169	6524241	11000111000110101010001	638D51
170	9316072	100011100010011011101000	8E26E8
171	127744	11111001100000000	1F300
172	8388820	100000000000000011010100	8000D4
173	6883557	11010010000100011100101	6908E5
174	2291239	1000101111011000100111	22F627
175	3101270	1011110101001001010110	2F5256
176	1382825	101010001100110101001	1519A9
177	9873376	100101101010011111100000	96A7E0
178	6873500	11010001110000110011100	68E19C
179	8185634	11111001110011100100010	7CE722
180	2464786	1001011001110000010010	259C12
181	8387154	11111111111101001010010	7FFA52
182	5581444	10101010010101010000100	552A84
183	8097911	11110111001000001110111	7B9077
184	8882527	100001111000100101011111	87895F
185	8941444	100010000110111110000100	886F84
186	4942703	10010110110101101101111	4B6B6F
187	101144	11000101100011000	18B18
188	7471180	11100100000000001001100	72004C
189	1932131	111010111101101100011	1D7B63
190	8052752	11110101110000000010000	7AE010
191	6359493	11000010000100111000101	6109C5
192	1967646	111100000011000011110	1E061E
193	6575052	11001000101001111001100	6453CC
194	2323342	1000110111001110001110	23738E
195	6735760	11001101100011110010000	66C790
196	8895858	100001111011110101110010	87BD72
197	4238091	10000001010101100001011	40AB0B
198	7093069	11011000011101101001101	6C3B4D
199	39	100111	27
Elapsed Time: 0.004092216491699219 seconds


NUMBER	P2/TC3	BIN	HEX
0	-39	1111100111	FFFFFFFFE9
1	-36	1111100100	FFFFFFFFEC
2	8	1000	8
3	34	100010	22
4	17	10001	11
5	49	110001	31
6	5	101	5
7	39	100111	27
8	0	0	0
9	33	100001	21
10	12	1100	C
11	-6	1111111110	FFFFFFFFFA
12	27	11011	1B
13	-4	1111111100	FFFFFFFFFC
14	-38	1111100110	FFFFFFFFEA
15	26	11010	1A
16	49	110001	31
17	29	11101	1D
18	42	101010	2A
19	-16	1111110000	FFFFFFFFFF
20	-28	1111111100	FFFFFFFFF4
21	34	100010	22
22	20	10100	14
23	0	0	0
24	25	11001	19
25	45	101101	2D
26	3	11	3
27	-46	1111101110	FFFFFFFFE2
28	-46	1111101110	FFFFFFFFE2
29	29	11101	1D
30	33	100001	21
31	29	11101	1D
32	26	11010	1A
33	-5	1111111101	FFFFFFFFFB
34	-36	1111100100	FFFFFFFFEC
35	12	1100	C
36	45	101101	2D
37	-50	1111110010	FFFFFFFFDE
38	0	0	0
39	-6	1111111110	FFFFFFFFFA
40	-39	1111100111	FFFFFFFFE9
41	35	100011	23
42	26	11010	1A
43	-35	1111100011	FFFFFFFFED
44	-42	1111101010	FFFFFFFFE6
45	14	1110	E
46	-3	1111111111	FFFFFFFFFD
47	22	10110	16
48	-47	1111101111	FFFFFFFFE1
49	12	1100	C
50	-17	1111110001	FFFFFFFFFF
51	-31	1111111111	FFFFFFFFF1
52	-25	1111111001	FFFFFFFFF7
53	-35	1111100011	FFFFFFFFED
54	-18	1111110010	FFFFFFFFFE
55	14	1110	E
56	37	100101	25
57	-8	1111111000	FFFFFFFFF8
58	-41	1111101001	FFFFFFFFE7
59	-50	1111110010	FFFFFFFFDE
60	-9	1111111001	FFFFFFFFF7
61	2	10	2
62	12	1100	C
63	-39	1111100111	FFFFFFFFE9
64	-17	1111110001	FFFFFFFFFF
65	0	0	0
66	27	11011	1B
67	28	11100	1C
68	45	101101	2D
69	-44	1111101100	FFFFFFFFE4
70	28	11100	1C
71	35	100011	23
72	-33	1111100001	FFFFFFFFEF
73	43	101011	2B
74	-4	1111111100	FFFFFFFFFC
75	23	10111	17
76	-49	1111110001	FFFFFFFFDF
77	49	110001	31
78	-7	1111111111	FFFFFFFFF9
79	-38	1111100110	FFFFFFFFEA
80	-45	1111101101	FFFFFFFFE3
81	5	101	5
82	-21	1111110101	FFFFFFFFFB
83	26	11010	1A
84	-2	1111111110	FFFFFFFFFE
85	-24	1111111000	FFFFFFFFF8
86	6	110	6
87	-45	1111101101	FFFFFFFFE3
88	-4	1111111100	FFFFFFFFFC
89	15	1111	F
90	0	0	0
91	-17	1111110001	FFFFFFFFFF
92	-35	1111100011	FFFFFFFFED
93	43	101011	2B
94	45	101101	2D
95	-35	1111100011	FFFFFFFFED
96	-8	1111111000	FFFFFFFFF8
97	28	11100	1C
98	47	101111	2F
99	34	100010	22
100	-24	1111111000	FFFFFFFFF8
101	-42	1111101010	FFFFFFFFE6
102	-13	1111111101	FFFFFFFFF3
103	14	1110	E
104	-45	1111101101	FFFFFFFFE3
105	-35	1111100011	FFFFFFFFED
106	27	11011	1B
107	-12	1111111100	FFFFFFFFF4
108	-19	1111110011	FFFFFFFFFD
109	-20	1111110100	FFFFFFFFFC
110	-14	1111111110	FFFFFFFFF2
111	20	10100	14
112	30	11110	1E
113	12	1100	C
114	-36	1111100100	FFFFFFFFEC
115	-47	1111101111	FFFFFFFFE1
116	-27	1111111011	FFFFFFFFF5
117	-3	1111111111	FFFFFFFFFD
118	6	110	6
119	36	100100	24
120	9	1001	9
121	-16	1111110000	FFFFFFFFFF
122	36	100100	24
123	-27	1111111011	FFFFFFFFF5
124	7	111	7
125	-6	1111111110	FFFFFFFFFA
126	-5	1111111101	FFFFFFFFFB
127	5	101	5
128	47	101111	2F
129	23	10111	17
130	-48	1111110000	FFFFFFFFDF
131	-24	1111111000	FFFFFFFFF8
132	40	101000	28
133	-4	1111111100	FFFFFFFFFC
134	-18	1111110010	FFFFFFFFFE
135	-19	1111110011	FFFFFFFFFD
136	14	1110	E
137	15	1111	F
138	1	1	1
139	24	11000	18
140	-9	1111111001	FFFFFFFFF7
141	-50	1111110010	FFFFFFFFDE
142	18	10010	12
143	15	1111	F
144	30	11110	1E
145	44	101100	2C
146	9	1001	9
147	19	10011	13
148	33	100001	21
149	41	101001	29
150	-24	1111111000	FFFFFFFFF8
151	43	101011	2B
152	48	110000	30
153	-23	1111110111	FFFFFFFFF9
154	7	111	7
155	28	11100	1C
156	8	1000	8
157	-2	1111111110	FFFFFFFFFE
158	37	100101	25
159	42	101010	2A
160	-17	1111110001	FFFFFFFFFF
161	-6	1111111110	FFFFFFFFFA
162	36	100100	24
163	22	10110	16
164	27	11011	1B
165	31	11111	1F
166	-47	1111101111	FFFFFFFFE1
167	-43	1111101011	FFFFFFFFE5
168	0	0	0
169	27	11011	1B
170	30	11110	1E
171	12	1100	C
172	-15	1111111111	FFFFFFFFF1
173	-19	1111110011	FFFFFFFFFD
174	-42	1111101010	FFFFFFFFE6
175	-37	1111100101	FFFFFFFFEB
176	31	11111	1F
177	-10	1111111010	FFFFFFFFF6
178	18	10010	12
179	33	100001	21
180	-15	1111111111	FFFFFFFFF1
181	17	10001	11
182	25	11001	19
183	-25	1111111001	FFFFFFFFF7
184	-5	1111111101	FFFFFFFFFB
185	33	100001	21
186	-13	1111111101	FFFFFFFFF3
187	33	100001	21
188	-10	1111111010	FFFFFFFFF6
189	47	101111	2F
190	47	101111	2F
191	-13	1111111101	FFFFFFFFF3
192	-32	1111100000	FFFFFFFFEF
193	1	1	1
194	1	1	1
195	-25	1111111001	FFFFFFFFF7
196	-33	1111100001	FFFFFFFFEF
197	16	10000	10
198	17	10001	11
199	4	100	4
Elapsed Time: 0.0020971298217773438 seconds


NUMBER	P2/TC4	BIN	HEX
0	-39	1111100111	FFFFFFFFE9
1	-36	1111100100	FFFFFFFFEC
2	8	1000	8
3	34	100010	22
4	17	10001	11
5	49	110001	31
6	5	101	5
7	ABC	#Value	#Value
8	0	0	0
9	33	100001	21
10	12	1100	C
11	-6	1111111110	FFFFFFFFFA
12	27	11011	1B
13	-4	1111111100	FFFFFFFFFC
14	-38	1111100110	FFFFFFFFEA
15	26	11010	1A
16	49	110001	31
17	29	11101	1D
18	42	101010	2A
19	-16	1111110000	FFFFFFFFFF
20	ERR	#Value	#Value
21	34	100010	22
22	20	10100	14
23	0	0	0
24	25	11001	19
25	45	101101	2D
26	3	11	3
27	-46	1111101110	FFFFFFFFE2
28	-46	1111101110	FFFFFFFFE2
29	29	11101	1D
30	33	100001	21
31	29	11101	1D
32	26	11010	1A
33	-5	1111111101	FFFFFFFFFB
34	-36	1111100100	FFFFFFFFEC
35	12	1100	C
36	45	101101	2D
37	-50	1111110010	FFFFFFFFDE
38	0	0	0
39	-6	1111111110	FFFFFFFFFA
40	VAL	#Value	#Value
Elapsed Time: 0.0013549327850341797 seconds


